textID	ID(seq)		word	lemma	PoS
-----	-----		-----	-----	-----

1124	771612618	con	con	e
1124	771612619	la	la	ld-fs
1124	771612620	prensa	prensa	nfs    
1124	771612621	local	local	jms    
1124	771612622	.	$.	y
1124	771612623	En	en	e
1124	771612624	ese	ese	dd-
1124	771612625	marco	marco	nms    
1124	771612626	,	$,	y
1124	771612627	Weretilneck	weretilneck	o
1124	771612628	anunció	anunciar	vis-3s
1124	771612629	que	que	cs
1124	771612630	se	se	po
1124	771612631	retirará	retirar	vif-3s
1124	771612632	el	el	ld-ms
1124	771612633	destacamento	destacamento	nms    
1124	771612634	vial	vial	jms    
1124	771612635	que	que	cs
1124	771612636	actualmente	actualmente	r
1124	771612637	posee	poseer	vip-3s
1124	771612638	la	la	ld-fs
1124	771612639	Provincia	provincia	o
1124	771612640	a	a	e
1124	771612641	el	el	ld-ms
1124	771612642	sur	sur	nms    
1124	771612643	de	de	e
1124	771612644	Sierra	sierra	o
1124	771612645	Grande	grande	o
1124	771612646	.	$.	y
1124	771612647	Paralelamente	paralelamente	r
1124	771612648	se	se	po
1124	771612649	tramitará	tramitar	vif-3s
1124	771612650	la	la	ld-fs
1124	771612651	construcción	construcción	nfs    
1124	771612652	de	de	e
1124	771612653	un	un	li-ms
1124	771612654	nuevo	nuevo	jms    
1124	771612655	puesto	puesto	nms    
1124	771612656	que	que	cs
1124	771612657	cumpla	cumplir	vsp-1/3s
1124	771612658	con	con	e
1124	771612659	todas	todo	dxfp-ind-
1124	771612660	la	la	ld-fs
1124	771612661	necesidades	necesidad	nfp    
1124	771612662	de	de	e
1124	771612663	el	el	ld-ms
1124	771612664	personal	personal	nms    
1124	771612665	para	para	e
1124	771612666	realizar	realizar	vr
1124	771612667	sus	su	dp-
1124	771612668	tareas	tarea	nfp    
1124	771612669	.	$.	y
1124	771612670	Creemos	creer	vip-1p
1124	771612671	que	que	cs
1124	771612672	la	la	ld-fs
1124	771612673	lucha	lucha	nfs    
1124	771612674	contra	contra	e
1124	771612675	la	la	ld-fs
1124	771612676	droga	droga	nfs    
1124	771612677	y	y	cc
1124	771612678	el	el	ld-ms
1124	771612679	delito	delito	nms    
1124	771612680	tiene	tener	vip-3s
1124	771612681	mucho	mucho	j
1124	771612682	que	que	cs
1124	771612683	ver	ver	vr
1124	771612684	con	con	e
1124	771612685	el	el	ld-ms
1124	771612686	control	control	nms    
1124	771612687	de	de	e
1124	771612688	las	la	ld-fp
1124	771612689	rutas	ruta	nfp    
1124	771612690	y	y	cc
1124	771612691	los	el	ld-mp
1124	771612692	caminos	camino	nmp    
1124	771612693	,	$,	y
1124	771612694	remarcó	remarcar	vis-3s
1124	771612695	el	el	ld-ms
1124	771612696	mandatario	mandatario	nms    
1124	771612697	.	$.	y
1124	771612698	@	@	n
1124	771612699	@	@	n
1124	771612700	@	@	n
1124	771612701	@	@	n
1124	771612702	@	@	n
1124	771612703	@	@	n
1124	771612704	@	@	n
1124	771612705	@	@	n
1124	771612706	@	@	n
1124	771612707	@	@	n
1124	771612708	dos	dos	mc
1124	771612709	nuevos	nuevo	jmp    
1124	771612710	vehículos	vehículo	nmp    
1124	771612711	para	para	e
1124	771612712	la	la	ld-fs
1124	771612713	fuerza	fuerza	nfs    
1124	771612714	policial	policial	jms    
1124	771612715	serrana	serrano	jfs    
1124	771612716	.	$.	y
1124	771612717	Se	se	po
1124	771612718	ha	haber	v
1124	771612719	traído	traer	vps-ms
1124	771612720	un	un	li-ms
1124	771612721	vehículo	vehículo	nms    
1124	771612722	y	y	cc
1124	771612723	estamos	estar	vip-1p
1124	771612724	también	también	r
1124	771612725	trayendo	traer	vpp
1124	771612726	otra	otro	dxfs-ind-
1124	771612727	camioneta	camioneta	nfs    
1124	771612728	en	en	e
1124	771612729	las	la	ld-fp
1124	771612730	próximas	próximo	jfp    
1124	771612731	horas	hora	nfp    
1124	771612732	,	$,	y
1124	771612733	dijo	decir	vis-3s
1124	771612734	al	al	r
1124	771612735	respecto	respecto	r
1124	771612736	.	$.	y
1124	771612737	Además	además	r
1124	771612738	,	$,	y
1124	771612739	confirmó	confirmar	vis-3s
1124	771612740	que	que	cs
1124	771612741	algunos	alguno	dxmp-ind-
1124	771612742	de	de	e
1124	771612743	los	el	ld-mp
1124	771612744	efectivos	efectivo	j
1124	771612745	que	que	cs
1124	771612746	hoy	hoy	r
1124	771612747	se	se	po
1124	771612748	graduaron	graduar	vis-3p
1124	771612749	se	se	po
1124	771612750	quedarán	quedar	vif-3p
1124	771612751	en	en	e
1124	771612752	Sierra	sierra	o
1124	771612753	Grande	grande	o
1124	771612754	para	para	e
1124	771612755	fortalecer	fortalecer	vr
1124	771612756	el	el	ld-ms
1124	771612757	trabajo	trabajo	nms    
1124	771612758	de	de	e
1124	771612759	prevención	prevención	nfs    
1124	771612760	de	de	e
1124	771612761	el	el	ld-ms
1124	771612762	delito	delito	nms    
1124	771612763	en	en	e
1124	771612764	la	la	ld-fs
1124	771612765	ciudad	ciudad	nfs    
1124	771612766	.	$.	y
1124	771612767	Agenda	agenda	n
1124	771612768	Por	por	r
1124	771612769	otra	otra	r
1124	771612770	parte	parte	r
1124	771612771	,	$,	y
1124	771612772	el	el	ld-ms
1124	771612773	titular	titular	nms    
1124	771612774	de	de	e
1124	771612775	el	el	ld-ms
1124	771612776	Ejecutivo	ejecutivo	nms    
1124	771612777	provincial	provincial	jms    
1124	771612778	anunció	anunciar	vis-3s
1124	771612779	que	que	cs
1124	771612780	el	el	ld-ms
1124	771612781	próximo	próximo	jms    
1124	771612782	martes	martes	nmp    
1124	771612783	a	a	e
1124	771612784	las	la	ld-fp
1124	771612785	18	18	m$
1124	771612786	se	se	po
1124	771612787	realizará	realizar	vif-3s
1124	771612788	la	la	ld-fs
1124	771612789	teleconferencia	teleconferencia	n
1124	771612790	con	con	e
1124	771612791	la	la	ld-fs
1124	771612792	Presidenta	presidenta	n
